Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
0,True Beauty,TV Show,2020.0,Comedy,"87,300,000",87.3
0,Squid Game,TV Show,2021.0,Thriller,"87,200,000",87.2
0,Little Angel,TV Show,2022.0,Animation,"86,200,000",86.2
0,Manifest,TV Show,2018.0,Thriller,"86,200,000",86.2
0,Extraction,Movie,2020.0,Action,"86,100,000",86.1
0,Lucifer,TV Show,2016.0,Superhero,"86,100,000",86.1
0,Lady Voyeur,TV Show,2023.0,Crime,"86,000,000",86.0
0,Woman of the Dead,TV Show,2022.0,Crime,"85,400,000",85.4
0,The Law According to Lidia Poët,TV Show,2023.0,Drama,"85,000,000",85.0
0,Florida Man,TV Show,2023.0,Crime,"84,600,000",84.6
0,Lucifer,TV Show,2016.0,Superhero,"84,400,000",84.4
0,Shahmaran,TV Show,2023.0,Fantasy,"83,600,000",83.6
0,Breaking Bad,TV Show,2008.0,Crime,"83,200,000",83.2
0,The Last Kingdom: Seven Kings Must Die,Movie,2023.0,History,"83,200,000",83.2
0,Selling Sunset,TV Show,2019.0,Reality-Show,"82,800,000",82.8
0,Cocomelon,TV Show,2020.0,Animation,"82,500,000",82.5
0,Suits,TV Show,2011.0,Drama,"82,500,000",82.5
0,Sam & Cat,TV Show,2013.0,Comedy,"82,400,000",82.4
0,Gilmore Girls,TV Show,2000.0,Drama,"82,100,000",82.1
0,Sonic Prime,TV Show,2022.0,Animation,"82,100,000",82.1
0,Peppa Pig,TV Show,2004.0,Animation,"81,800,000",81.8
0,Manifest,TV Show,2018.0,Thriller,"81,700,000",81.7
0,Roald Dahl's Matilda the Musical,Movie,2022.0,Musical,"81,000,000",81.0
0,Better Call Saul,TV Show,2015.0,Crime,"80,800,000",80.8
0,Sing,Movie,2016.0,Animation,"80,500,000",80.5
0,Fighting Spirit,TV Show,2000.0,Animation,"80,300,000",80.3
0,All Quiet on the Western Front,Movie,2022.0,War,"80,000,000",80.0
0,Hasta el cielo: La serie,TV Show,2023.0,Crime,"79,700,000",79.7
0,Alpha Males,TV Show,2022.0,Comedy,"78,200,000",78.2
0,Record of Ragnarok,TV Show,2021.0,Animation,"78,200,000",78.2
0,Chupa,Movie,2023.0,Adventure,"77,800,000",77.8
0,Stranger Things,TV Show,2016.0,Thriller,"77,800,000",77.8
0,PAW Patrol: The Movie,Movie,2021.0,Animation,"77,200,000",77.2
0,Sing 2,Movie,2021.0,Animation,"76,600,000",76.6
0,The Crown,TV Show,2016.0,History,"76,300,000",76.3
0,Next in Fashion,TV Show,2020.0,Reality-Show,"75,700,000",75.7
0,Gilmore Girls,TV Show,2000.0,Drama,"75,200,000",75.2
0,Lucifer,TV Show,2016.0,Superhero,"75,200,000",75.2
0,The Boss Baby,Movie,2017.0,Animation,"75,100,000",75.1
0,Treason,TV Show,2022.0,Crime,"74,300,000",74.3
0,Trolls,Movie,2016.0,Animation,"73,400,000",73.4
0,Blood Ties,TV Show,2022.0,Drama,"73,300,000",73.3
0,Money Heist,TV Show,2017.0,Action,"73,100,000",73.1
0,Rough Diamonds,TV Show,2023.0,Crime,"72,800,000",72.8
0,Vincenzo,TV Show,2021.0,Action,"72,800,000",72.8
0,The Walking Dead,TV Show,2010.0,Horror,"72,200,000",72.2
0,The Witcher,TV Show,2019.0,Fantasy,"72,200,000",72.2
0,Gabby's Dollhouse,TV Show,2021.0,Animation,"71,600,000",71.6
0,The Walking Dead,TV Show,2010.0,Horror,"71,600,000",71.6
0,Carrossel,TV Show,2012.0,Drama,"71,300,000",71.3
0,Gilmore Girls,TV Show,2000.0,Drama,"71,300,000",71.3
0,Red Rose,TV Show,2022.0,Drama,"71,100,000",71.1
0,Fauda,TV Show,2015.0,Action,"71,000,000",71.0
0,New Amsterdam,TV Show,2018.0,Drama,"70,600,000",70.6
0,Gilmore Girls,TV Show,2000.0,Drama,"69,900,000",69.9
0,Gilmore Girls,TV Show,2000.0,Drama,"69,800,000",69.8
0,The Blacklist,TV Show,2013.0,Crime,"69,700,000",69.7
0,Divorce Attorney Shin,TV Show,2023.0,Drama,"69,500,000",69.5
0,Stranger Things,TV Show,2016.0,Thriller,"69,200,000",69.2
0,Hometown Cha-Cha-Cha,TV Show,2021.0,Comedy,"69,000,000",69.0
0,Love Is Blind,TV Show,2020.0,Reality-Show,"68,900,000",68.9
0,Kill Boksoon,Movie,2023.0,Thriller,"68,500,000",68.5
0,The Thundermans,TV Show,2013.0,Science Fiction,"68,500,000",68.5
0,The Flash,TV Show,2014.0,Superhero,"68,200,000",68.2
0,Red Notice,Movie,2021.0,Action,"68,100,000",68.1
0,Henry Danger,TV Show,2014.0,Comedy,"67,800,000",67.8
0,The Queen of Flow,TV Show,2018.0,Drama,"67,800,000",67.8
0,The Walking Dead,TV Show,2010.0,Horror,"67,700,000",67.7
0,Viking Wolf,Movie,2022.0,Horror,"67,500,000",67.5
0,Designated Survivor,TV Show,2016.0,Action,"67,200,000",67.2
0,Bebefinn,TV Show,2022.0,,"67,100,000",67.1
0,Hotel Transylvania 2,Movie,2015.0,Animation,"67,000,000",67.0
0,Stranger Things,TV Show,2016.0,Thriller,"67,000,000",67.0
0,Masha and the Bear,TV Show,2009.0,Animation,"66,700,000",66.7
0,Outlander,TV Show,2014.0,Drama,"66,500,000",66.5
0,Grizzy & the Lemmings,TV Show,2016.0,Animation,"66,000,000",66.0
0,Single’s Inferno,TV Show,2021.0,Reality-Show,"65,900,000",65.9
0,The Witcher: Blood Origin,TV Show,2022.0,Fantasy,"65,300,000",65.3
0,The Nurse,TV Show,2023.0,Crime,"65,200,000",65.2
0,The Watcher,TV Show,2022.0,Thriller,"64,400,000",64.4
0,Jumanji: The Next Level,Movie,2019.0,Adventure,"64,300,000",64.3
0,Suits,TV Show,2011.0,Drama,"64,200,000",64.2
0,Gilmore Girls,TV Show,2000.0,Drama,"63,900,000",63.9
0,Terzi,TV Show,2023.0,Thriller,"63,900,000",63.9
0,All American,TV Show,2018.0,Drama,"63,700,000",63.7
0,Peppa Pig,TV Show,2004.0,Animation,"63,700,000",63.7
0,The Blacklist,TV Show,2013.0,Crime,"63,500,000",63.5
0,Dahmer – Monster: The Jeffrey Dahmer Story,TV Show,2022.0,Crime,"63,500,000",63.5
0,Narvik,Movie,2022.0,War,"63,100,000",63.1
0,Home,Movie,2015.0,Animation,"62,800,000",62.8
0,The Sea Beast,Movie,2022.0,Animation,"62,700,000",62.7
0,The Walking Dead,TV Show,2010.0,Horror,"62,300,000",62.3
