Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million,title,imdb_rating
0,the blacklist,TV Show,2013.0,Crime,"95,700,000",95.7,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"95,700,000",95.7,the blacklist,81
0,that '90s show,TV Show,2023.0,Comedy,"95,100,000",95.1,,
0,you,TV Show,2018.0,Crime,"95,000,000",95.0,,
0,la reina del sur,TV Show,2011.0,Drama,"94,700,000",94.7,,
0,all of us are dead,TV Show,2022.0,Horror,"94,600,000",94.6,,
0,new amsterdam,TV Show,2018.0,Drama,"94,400,000",94.4,,
0,black knight,TV Show,2023.0,Science Fiction,"94,300,000",94.3,,
0,breaking bad,TV Show,2008.0,Crime,"94,300,000",94.3,,
0,obsession,TV Show,2023.0,Drama,"94,200,000",94.2,,
0,biz kimden kaçıyorduk anne?,TV Show,2023.0,Crime,"92,900,000",92.9,,
0,la reina del sur,TV Show,2011.0,Drama,"92,500,000",92.5,,
0,hunger,Movie,2023.0,Drama,"92,300,000",92.3,,
0,alice in borderland,TV Show,2020.0,Thriller,"92,200,000",92.2,,
0,cocomelon,TV Show,2020.0,Animation,"91,400,000",91.4,,
0,firefly lane,TV Show,2021.0,Drama,"91,200,000",91.2,,
0,les combattantes,TV Show,2022.0,War,"90,800,000",90.8,,
0,formula 1: drive to survive,TV Show,2019.0,Documentary,"90,200,000",90.2,,
0,sweet tooth,TV Show,2021.0,Superhero,"89,000,000",89.0,,
0,s.w.a.t.,TV Show,2017.0,Crime,"88,600,000",88.6,,
0,murder mystery,Movie,2019.0,Comedy,"87,900,000",87.9,,
0,true beauty,TV Show,2020.0,Comedy,"87,300,000",87.3,,
0,squid game,TV Show,2021.0,Thriller,"87,200,000",87.2,,
0,little angel,TV Show,2022.0,Animation,"86,200,000",86.2,,
0,manifest,TV Show,2018.0,Thriller,"86,200,000",86.2,,
0,extraction,Movie,2020.0,Action,"86,100,000",86.1,extraction,70%
0,extraction,Movie,2020.0,Action,"86,100,000",86.1,extraction,70
0,lucifer,TV Show,2016.0,Superhero,"86,100,000",86.1,lucifer,83%
0,lucifer,TV Show,2016.0,Superhero,"86,100,000",86.1,lucifer,83
0,lady voyeur,TV Show,2023.0,Crime,"86,000,000",86.0,,
0,woman of the dead,TV Show,2022.0,Crime,"85,400,000",85.4,,
0,the law according to lidia poët,TV Show,2023.0,Drama,"85,000,000",85.0,,
0,florida man,TV Show,2023.0,Crime,"84,600,000",84.6,,
0,lucifer,TV Show,2016.0,Superhero,"84,400,000",84.4,lucifer,83%
0,lucifer,TV Show,2016.0,Superhero,"84,400,000",84.4,lucifer,83
0,shahmaran,TV Show,2023.0,Fantasy,"83,600,000",83.6,,
0,breaking bad,TV Show,2008.0,Crime,"83,200,000",83.2,,
0,the last kingdom: seven kings must die,Movie,2023.0,History,"83,200,000",83.2,,
0,selling sunset,TV Show,2019.0,Reality-Show,"82,800,000",82.8,selling sunset,53%
0,selling sunset,TV Show,2019.0,Reality-Show,"82,800,000",82.8,selling sunset,53
0,cocomelon,TV Show,2020.0,Animation,"82,500,000",82.5,,
0,suits,TV Show,2011.0,Drama,"82,500,000",82.5,,
0,sam & cat,TV Show,2013.0,Comedy,"82,400,000",82.4,,
0,gilmore girls,TV Show,2000.0,Drama,"82,100,000",82.1,,
0,sonic prime,TV Show,2022.0,Animation,"82,100,000",82.1,,
0,peppa pig,TV Show,2004.0,Animation,"81,800,000",81.8,,
0,manifest,TV Show,2018.0,Thriller,"81,700,000",81.7,,
0,roald dahl's matilda the musical,Movie,2022.0,Musical,"81,000,000",81.0,,
0,better call saul,TV Show,2015.0,Crime,"80,800,000",80.8,,
0,sing,Movie,2016.0,Animation,"80,500,000",80.5,sing,73%
0,sing,Movie,2016.0,Animation,"80,500,000",80.5,sing,73
0,fighting spirit,TV Show,2000.0,Animation,"80,300,000",80.3,,
0,all quiet on the western front,Movie,2022.0,War,"80,000,000",80.0,,
0,hasta el cielo: la serie,TV Show,2023.0,Crime,"79,700,000",79.7,,
0,alpha males,TV Show,2022.0,Comedy,"78,200,000",78.2,,
0,record of ragnarok,TV Show,2021.0,Animation,"78,200,000",78.2,,
0,chupa,Movie,2023.0,Adventure,"77,800,000",77.8,,
0,stranger things,TV Show,2016.0,Thriller,"77,800,000",77.8,,
0,paw patrol: the movie,Movie,2021.0,Animation,"77,200,000",77.2,,
0,sing 2,Movie,2021.0,Animation,"76,600,000",76.6,,
0,the crown,TV Show,2016.0,History,"76,300,000",76.3,,
0,next in fashion,TV Show,2020.0,Reality-Show,"75,700,000",75.7,,
0,gilmore girls,TV Show,2000.0,Drama,"75,200,000",75.2,,
0,lucifer,TV Show,2016.0,Superhero,"75,200,000",75.2,lucifer,83%
0,lucifer,TV Show,2016.0,Superhero,"75,200,000",75.2,lucifer,83
0,the boss baby,Movie,2017.0,Animation,"75,100,000",75.1,,
0,treason,TV Show,2022.0,Crime,"74,300,000",74.3,,
0,trolls,Movie,2016.0,Animation,"73,400,000",73.4,,
0,blood ties,TV Show,2022.0,Drama,"73,300,000",73.3,,
0,money heist,TV Show,2017.0,Action,"73,100,000",73.1,money heist,84%
0,money heist,TV Show,2017.0,Action,"73,100,000",73.1,money heist,84
0,rough diamonds,TV Show,2023.0,Crime,"72,800,000",72.8,,
0,vincenzo,TV Show,2021.0,Action,"72,800,000",72.8,,
0,the walking dead,TV Show,2010.0,Horror,"72,200,000",72.2,,
0,the witcher,TV Show,2019.0,Fantasy,"72,200,000",72.2,,
0,gabby's dollhouse,TV Show,2021.0,Animation,"71,600,000",71.6,,
0,the walking dead,TV Show,2010.0,Horror,"71,600,000",71.6,,
0,carrossel,TV Show,2012.0,Drama,"71,300,000",71.3,,
0,gilmore girls,TV Show,2000.0,Drama,"71,300,000",71.3,,
0,red rose,TV Show,2022.0,Drama,"71,100,000",71.1,,
0,fauda,TV Show,2015.0,Action,"71,000,000",71.0,fauda,84%
0,fauda,TV Show,2015.0,Action,"71,000,000",71.0,fauda,84
0,new amsterdam,TV Show,2018.0,Drama,"70,600,000",70.6,,
0,gilmore girls,TV Show,2000.0,Drama,"69,900,000",69.9,,
0,gilmore girls,TV Show,2000.0,Drama,"69,800,000",69.8,,
0,the blacklist,TV Show,2013.0,Crime,"69,700,000",69.7,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"69,700,000",69.7,the blacklist,81
0,divorce attorney shin,TV Show,2023.0,Drama,"69,500,000",69.5,,
0,stranger things,TV Show,2016.0,Thriller,"69,200,000",69.2,,
0,hometown cha-cha-cha,TV Show,2021.0,Comedy,"69,000,000",69.0,,
0,love is blind,TV Show,2020.0,Reality-Show,"68,900,000",68.9,love is blind,56%
0,love is blind,TV Show,2020.0,Reality-Show,"68,900,000",68.9,love is blind,56
0,kill boksoon,Movie,2023.0,Thriller,"68,500,000",68.5,,
0,the thundermans,TV Show,2013.0,Science Fiction,"68,500,000",68.5,,
0,the flash,TV Show,2014.0,Superhero,"68,200,000",68.2,,
0,red notice,Movie,2021.0,Action,"68,100,000",68.1,,
0,henry danger,TV Show,2014.0,Comedy,"67,800,000",67.8,,
0,the queen of flow,TV Show,2018.0,Drama,"67,800,000",67.8,,
0,the walking dead,TV Show,2010.0,Horror,"67,700,000",67.7,,
0,viking wolf,Movie,2022.0,Horror,"67,500,000",67.5,,
0,designated survivor,TV Show,2016.0,Action,"67,200,000",67.2,,
0,bebefinn,TV Show,2022.0,,"67,100,000",67.1,,
0,hotel transylvania 2,Movie,2015.0,Animation,"67,000,000",67.0,,
0,stranger things,TV Show,2016.0,Thriller,"67,000,000",67.0,,
0,masha and the bear,TV Show,2009.0,Animation,"66,700,000",66.7,,
0,outlander,TV Show,2014.0,Drama,"66,500,000",66.5,,
0,grizzy & the lemmings,TV Show,2016.0,Animation,"66,000,000",66.0,,
0,single’s inferno,TV Show,2021.0,Reality-Show,"65,900,000",65.9,,
0,the witcher: blood origin,TV Show,2022.0,Fantasy,"65,300,000",65.3,,
0,the nurse,TV Show,2023.0,Crime,"65,200,000",65.2,,
0,the watcher,TV Show,2022.0,Thriller,"64,400,000",64.4,,
0,jumanji: the next level,Movie,2019.0,Adventure,"64,300,000",64.3,jumanji: the next level,70%
0,jumanji: the next level,Movie,2019.0,Adventure,"64,300,000",64.3,jumanji: the next level,70
0,suits,TV Show,2011.0,Drama,"64,200,000",64.2,,
0,gilmore girls,TV Show,2000.0,Drama,"63,900,000",63.9,,
0,terzi,TV Show,2023.0,Thriller,"63,900,000",63.9,,
0,all american,TV Show,2018.0,Drama,"63,700,000",63.7,all american,63
0,all american,TV Show,2018.0,Drama,"63,700,000",63.7,all american,63%
0,peppa pig,TV Show,2004.0,Animation,"63,700,000",63.7,,
0,the blacklist,TV Show,2013.0,Crime,"63,500,000",63.5,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"63,500,000",63.5,the blacklist,81
0,dahmer – monster: the jeffrey dahmer story,TV Show,2022.0,Crime,"63,500,000",63.5,,
0,narvik,Movie,2022.0,War,"63,100,000",63.1,,
0,home,Movie,2015.0,Animation,"62,800,000",62.8,,
0,the sea beast,Movie,2022.0,Animation,"62,700,000",62.7,,
0,the walking dead,TV Show,2010.0,Horror,"62,300,000",62.3,,
0,harry & meghan,TV Show,2022.0,Documentary,"62,000,000",62.0,,
0,the walking dead,TV Show,2010.0,Horror,"62,000,000",62.0,,
0,my dad the bounty hunter,TV Show,2023.0,Animation,"61,800,000",61.8,,
0,dog gone,Movie,2023.0,Drama,"61,600,000",61.6,,
0,maid,TV Show,2021.0,Drama,"61,500,000",61.5,,
0,pasión de gavilanes,TV Show,2003.0,Drama,"61,500,000",61.5,pasión de gavilanes,82%
0,pasión de gavilanes,TV Show,2003.0,Drama,"61,500,000",61.5,pasión de gavilanes,82
0,a man called otto,Movie,2022.0,Drama,"61,300,000",61.3,,
0,peaky blinders,TV Show,2013.0,Drama,"61,100,000",61.1,,
0,victorious,TV Show,2010.0,Comedy,"61,100,000",61.1,,
0,never have i ever,TV Show,2020.0,Comedy,"61,000,000",61.0,never have i ever,78%
0,never have i ever,TV Show,2020.0,Comedy,"61,000,000",61.0,never have i ever,78
0,the days,TV Show,2023.0,Drama,"60,800,000",60.8,,
0,la primera vez,TV Show,2023.0,Drama,"60,600,000",60.6,,
0,unseen,TV Show,2023.0,Crime,"60,100,000",60.1,,
0,narcos,TV Show,2015.0,Drama,"59,900,000",59.9,,
0,the walking dead,TV Show,2010.0,Horror,"59,800,000",59.8,,
0,madoff: the monster of wall street,TV Show,2023.0,Documentary,"59,600,000",59.6,,
0,the witcher,TV Show,2019.0,Fantasy,"59,300,000",59.3,,
0,young lady and gentleman,TV Show,2021.0,Comedy,"58,500,000",58.5,,
0,sky rojo,TV Show,2021.0,Crime,"58,500,000",58.5,,
0,miraculous: tales of ladybug & cat noir,TV Show,2015.0,Animation,"58,300,000",58.3,,
0,never have i ever,TV Show,2020.0,Comedy,"58,300,000",58.3,never have i ever,78%
0,never have i ever,TV Show,2020.0,Comedy,"58,300,000",58.3,never have i ever,78
0,the gray man,Movie,2022.0,Action,"58,300,000",58.3,,
0,s.w.a.t.,TV Show,2017.0,Crime,"57,900,000",57.9,,
0,one piece episode of east blue,Movie,2017.0,Animation,"57,800,000",57.8,,
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"57,500,000",57.5,brooklyn nine-nine,83%
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"57,500,000",57.5,brooklyn nine-nine,83
0,new amsterdam,TV Show,2018.0,Drama,"57,500,000",57.5,,
0,workin' moms,TV Show,2017.0,Comedy,"57,500,000",57.5,,
0,barbie: life in the dreamhouse,TV Show,2012.0,Animation,"57,400,000",57.4,,
0,the walking dead,TV Show,2010.0,Horror,"57,400,000",57.4,,
0,the blacklist,TV Show,2013.0,Crime,"57,000,000",57.0,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"57,000,000",57.0,the blacklist,81
0,the sandman,TV Show,2022.0,Superhero,"56,700,000",56.7,,
0,true spirit,Movie,2023.0,Adventure,"56,700,000",56.7,,
0,cocomelon,TV Show,2020.0,Animation,"56,600,000",56.6,,
0,gilmore girls,TV Show,2000.0,Drama,"56,500,000",56.5,,
0,the strays,Movie,2023.0,Thriller,"56,500,000",56.5,,
0,suits,TV Show,2011.0,Drama,"56,400,000",56.4,,
0,the croods,Movie,2013.0,Animation,"56,400,000",56.4,,
0,grizzy & the lemmings,TV Show,2016.0,Animation,"56,300,000",56.3,,
0,the empress,TV Show,2022.0,History,"56,000,000",56.0,,
0,matilda,Movie,1996.0,Comedy,"55,700,000",55.7,,
0,outlast,TV Show,2023.0,Reality-Show,"55,500,000",55.5,,
0,the good doctor,TV Show,2017.0,Drama,"55,500,000",55.5,,
0,cocomelon,TV Show,2020.0,Animation,"55,200,000",55.2,,
0,jane the virgin,TV Show,2014.0,Comedy,"55,200,000",55.2,,
0,the blacklist,TV Show,2013.0,Crime,"55,200,000",55.2,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"55,200,000",55.2,the blacklist,81
0,vinland saga,TV Show,2019.0,Animation,"55,100,000",55.1,,
0,the queen of flow,TV Show,2018.0,Drama,"55,000,000",55.0,,
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"54,800,000",54.8,brooklyn nine-nine,83%
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"54,800,000",54.8,brooklyn nine-nine,83
0,carinha de anjo,TV Show,2016.0,Comedy,"54,400,000",54.4,,
0,alias j.j.,TV Show,2017.0,Drama,"54,400,000",54.4,,
0,the circle,TV Show,2020.0,Reality-Show,"54,400,000",54.4,,
0,the ultimatum: queer love,TV Show,2023.0,Reality-Show,"53,800,000",53.8,,
0,never have i ever,TV Show,2020.0,Comedy,"53,700,000",53.7,never have i ever,78%
0,never have i ever,TV Show,2020.0,Comedy,"53,700,000",53.7,never have i ever,78
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"53,600,000",53.6,brooklyn nine-nine,83%
